City;Couleur;Forme;State;Time;Date;Heure
Binghamton;;DISK;NY;2/10/1952 21:00;10/2/1952;21:00
Nellis AFB;;DISK;NV;2/17/1952 18:00;17/2/1952;18:00
Chicago;;DISK;IL;4/15/1952 13:00;15/4/1952;13:00
Greenville;ORANGE;TRIANGLE;TX;4/15/1952 16:00;15/4/1952;16:00
Pittsburgh;;CYLINDER;PA;5/15/1952 10:15;15/5/1952;10:15
Allyn;;DISK;WA;5/15/1952 20:00;15/5/1952;20:00
Dousman;;VARIOUS;WI;6/1/1952 11:00;1/6/1952;11:00
Norfolk;RED;FIREBALL;VA;6/1/1952 22:00;1/6/1952;22:00
Evergreen;;DISK;CO;6/6/1952 13:00;6/6/1952;13:00
Chicago;;CIRCLE;IL;6/10/1952 12:00;10/6/1952;12:00
Fortville;;DISK;IN;6/13/1952 7:30;13/6/1952;7:30
Luke Airforce Base;;EGG;AZ;6/15/1952 0:00;15/6/1952;0:00
Piedra Blanka;;CIGAR;CA;6/15/1952 0:00;15/6/1952;0:00
Jacksonville;;TRIANGLE;FL;6/15/1952 21:00;15/6/1952;21:00
Maywood;;CIRCLE;CA;6/15/1952 23:00;15/6/1952;23:00
Lansing;;OTHER;MI;6/21/1952 22:00;21/6/1952;22:00
Chester;;OVAL;PA;6/22/1952 17:45;22/6/1952;17:45
Cheyenne;;DISK;WY;6/30/1952 0:00;30/6/1952;0:00
Pecos;;DISK;TX;6/30/1952 3:00;30/6/1952;3:00
Barksdale AFB;;VARIOUS;LA;6/30/1952 6:00;30/6/1952;6:00
Miami;;LIGHT;FL;6/30/1952 9:00;30/6/1952;9:00
New York City;;DISK;NY;6/30/1952 13:00;30/6/1952;13:00
Auburn;;OVAL;WA;6/30/1952 18:30;30/6/1952;18:30
Miami;;DISK;FL;6/30/1952 21:00;30/6/1952;21:00
Miami;;LIGHT;FL;6/30/1952 21:00;30/6/1952;21:00
Sebeka;;OTHER;MN;7/1/1952 15:00;1/7/1952;15:00
Detroit;;SPHERE;MI;7/1/1952 22:00;1/7/1952;22:00
Tacoma;;SPHERE;WA;7/5/1952 16:00;5/7/1952;16:00
Evergreen;;CIRCLE;CO;7/7/1952 10:00;7/7/1952;10:00
Arlington;;DISK;TX;7/7/1952 13:00;7/7/1952;13:00
Arlington;GREEN;OVAL;VA;7/13/1952 21:00;13/7/1952;21:00
Wilmington;;DISK;CA;7/15/1952 12:00;15/7/1952;12:00
;;DISK;CA;7/15/1952 12:30;15/7/1952;12:30
Litchfield;;OTHER;PA;7/15/1952 13:00;15/7/1952;13:00
South Gate;;CIRCLE;CA;7/15/1952 14:00;15/7/1952;14:00
North Bend;;OTHER;WA;7/15/1952 18:30;15/7/1952;18:30
New York City;;OTHER;NY;7/15/1952 19:00;15/7/1952;19:00
Okolona;;OVAL;MS;7/22/1952 9:30;22/7/1952;9:30
Tacoma;;SPHERE;WA;7/25/1952 16:00;25/7/1952;16:00
Manville;;SPHERE;RI;7/30/1952 15:00;30/7/1952;15:00
Tampa;;OVAL;FL;8/1/1952 21:30;1/8/1952;21:30
Smithson's Valley;;CIGAR;TX;8/15/1952 17:00;15/8/1952;17:00
Prairie Grove;;DISK;AR;8/15/1952 17:30;15/8/1952;17:30
Hamilton;;LIGHT;OH;8/15/1952 22:15;15/8/1952;22:15
Philadelphia;;CIRCLE;PA;9/9/1952 20:00;9/9/1952;20:00
Norridgewock;;DISK;ME;9/15/1952 14:00;15/9/1952;14:00
Kansas City;;DISK;MO;10/1/1952 12:00;1/10/1952;12:00
Richland;;CIRCLE;WA;10/15/1952 21:00;15/10/1952;21:00
Chicago;;OTHER;IL;12/6/1952 19:00;6/12/1952;19:00
Camp McCoy;;CYLINDER;WI;12/30/1952 12:00;30/12/1952;12:00
Nebraska;;VARIOUS;NE;1/1/1953 0:00;1/1/1953;0:00
Oklahoma;;CIGAR;TX;1/1/1953 14:00;1/1/1953;14:00
Palm Springs;;VARIOUS;CA;3/15/1953 0:00;15/3/1953;0:00
Haverhill;;CHEVRON;MA;4/1/1953 15:00;1/4/1953;15:00
Cambridge;RED;SPHERE;MA;4/1/1953 18:00;1/4/1953;18:00
Chariton;;OTHER;IA;4/10/1953 13:00;10/4/1953;13:00
Los Angeles;;FIREBALL;CA;4/15/1953 12:00;15/4/1953;12:00
Midwest City;YELLOW;FIREBALL;OK;4/15/1953 16:00;15/4/1953;16:00
Jamison;;CIGAR;PA;4/30/1953 16:00;30/4/1953;16:00
Kingman;;VARIOUS;AZ;5/20/1953 8:00;20/5/1953;8:00
Fresno;;VARIOUS;CA;6/1/1953 21:00;1/6/1953;21:00
Roswell;;VARIOUS;NM;6/15/1953 0:00;15/6/1953;0:00
Wenatchee;;DISK;WA;6/15/1953 12:00;15/6/1953;12:00
Fort Worth;;SPHERE;TX;6/15/1953 13:00;15/6/1953;13:00
North Bend;;CIRCLE;WA;6/15/1953 18:00;15/6/1953;18:00
Galveston;;CIGAR;TX;6/17/1953 7:30;17/6/1953;7:30
Cleveland;RED;FIREBALL;OH;6/30/1953 0:00;30/6/1953;0:00
Kelso;;OVAL;WA;6/30/1953 15:00;30/6/1953;15:00
Colorado Springs;;DISK;CO;7/1/1953 5:30;1/7/1953;5:30
;BLUE;DISK;MT;7/4/1953 14:00;4/7/1953;14:00
Ogallala;;OTHER;NE;7/4/1953 21:00;4/7/1953;21:00
Nashville;;CYLINDER;TN;7/15/1953 13:00;15/7/1953;13:00
Dublin;;CONE;IN;7/17/1953 22:00;17/7/1953;22:00
Berkeley;;FIREBALL;MO;8/1/1953 12:00;1/8/1953;12:00
San Bernadino Mtns, Church Camp;;DISK;CA;8/1/1953 14:00;1/8/1953;14:00
Vallejo;;LIGHT;CA;8/7/1953 21:00;7/8/1953;21:00
Louisville;;CIRCLE;KY;8/15/1953 11:00;15/8/1953;11:00
Artesia;ORANGE;OTHER;NM;8/15/1953 19:00;15/8/1953;19:00
Bowleys Quarters;;SPHERE;MD;8/15/1953 21:00;15/8/1953;21:00
Homer;;VARIOUS;PA;9/15/1953 14:00;15/9/1953;14:00
Mauriceville;;DISK;TX;10/15/1953 14:00;15/10/1953;14:00
New Orleans;;OVAL;LA;10/31/1953 19:00;31/10/1953;19:00
Cicero;;OTHER;IL;11/13/1953 20:00;13/11/1953;20:00
Keansburg;;CIRCLE;NJ;11/15/1953 3:00;15/11/1953;3:00
Pendleton;GREEN;DISK;IN;11/21/1953 22:30;21/11/1953;22:30
Lackland Air Force Base;;DISK;TX;11/25/1953 4:25;25/11/1953;4:25
Brunswick;;VARIOUS;ME;1/1/1954 0:00;1/1/1954;0:00
Lakeland;;DISK;FL;1/1/1954 1:00;1/1/1954;1:00
Souix City;;CIRCLE;IA;1/1/1954 22:00;1/1/1954;22:00
Santa Monica;;LIGHT;CT;1/15/1954 20:00;15/1/1954;20:00
Fairbanks;;VARIOUS;AK;2/1/1954 2:00;1/2/1954;2:00
Burney;;DISK;CA;2/15/1954 19:30;15/2/1954;19:30
Stanford Campus;;DISK;CA;4/1/1954 22:00;1/4/1954;22:00
Corvallis;;DIAMOND;OR;5/15/1954 12:00;15/5/1954;12:00
Quincy;;DISK;IL;5/26/1954 4:30;26/5/1954;4:30
Houston;;DISK;TX;6/1/1954 0:00;1/6/1954;0:00
Ovid;;DISK;NY;6/1/1954 6:00;1/6/1954;6:00
Springfield;;CYLINDER;IL;6/1/1954 8:00;1/6/1954;8:00
El Cerrito;;LIGHT;CA;6/1/1954 19:00;1/6/1954;19:00
Toledo;;DISK;OH;6/1/1954 19:00;1/6/1954;19:00
Norfolk;;DISK;VA;6/1/1954 20:00;1/6/1954;20:00
Philadelphia;;DISK;PA;6/1/1954 20:00;1/6/1954;20:00
Fish Canyon;;LIGHT;CA;6/1/1954 23:00;1/6/1954;23:00
Atlanta;;DISK;GA;6/6/1954 10:00;6/6/1954;10:00
Estes Park;;CIGAR;CO;6/10/1954 20:00;10/6/1954;20:00
Glenburn;;VARIOUS;ME;6/11/1954 2:00;11/6/1954;2:00
Palm Beach;;LIGHT;CA;6/15/1954 11:00;15/6/1954;11:00
Claymont;;DISK;DE;6/15/1954 11:45;15/6/1954;11:45
Ellington AFB;;DISK;TX;6/15/1954 16:30;15/6/1954;16:30
Lorton;;OTHER;VA;6/23/1954 2:00;23/6/1954;2:00
Langley Air Force Base;;CIRCLE;VA;6/23/1954 23:00;23/6/1954;23:00
Thrifty;;CIRCLE;TX;6/25/1954 3:30;25/6/1954;3:30
Marion;;CIRCLE;VA;6/30/1954 0:00;30/6/1954;0:00
Methuen;;VARIOUS;MA;6/30/1954 0:00;30/6/1954;0:00
Hawthorne;;LIGHT;CA;6/30/1954 12:00;30/6/1954;12:00
Pasadena;;CIRCLE;CA;6/30/1954 15:00;30/6/1954;15:00
St. Louis Airport;RED;OVAL;MO;7/1/1954 21:00;1/7/1954;21:00
Los Angeles;RED;CIRCLE;CA;7/1/1954 22:00;1/7/1954;22:00
Walnut Creek;;VARIOUS;CA;7/7/1954 20:00;7/7/1954;20:00
West Columbia;;FORMATION;SC;7/7/1954 22:00;7/7/1954;22:00
Morroco;;VARIOUS;IN;7/12/1954 17:30;12/7/1954;17:30
Philadelphia;;DISK;PA;7/15/1954 11:00;15/7/1954;11:00
Greenfield;;CIGAR;IN;7/15/1954 14:00;15/7/1954;14:00
Kansas City;;CHEVRON;KS;7/15/1954 21:00;15/7/1954;21:00
Oakdale;;DISK;NY;7/15/1954 21:00;15/7/1954;21:00
Bridge Hampton;;LIGHT;NY;7/15/1954 22:00;15/7/1954;22:00
Farmingdale;;OVAL;NY;8/1/1954 12:00;1/8/1954;12:00
Dyer;;TRIANGLE;IN;8/1/1954 17:00;1/8/1954;17:00
Canton;;DISK;PA;8/1/1954 21:00;1/8/1954;21:00
North Hollywood;;LIGHT;CA;8/1/1954 22:00;1/8/1954;22:00
Puyallup;;OVAL;WA;8/15/1954 21:00;15/8/1954;21:00
Geneva;;DISK;NY;9/1/1954 13:00;1/9/1954;13:00
Beaumont;RED;DISK;TX;9/9/1954 12:30;9/9/1954;12:30
Palmer Township;;OTHER;PA;9/15/1954 9:30;15/9/1954;9:30
Flatwoods;;CIRCLE;WV;10/1/1954 19:00;1/10/1954;19:00
Blanco;;OTHER;TX;10/15/1954 16:30;15/10/1954;16:30
Manistee;;CIRCLE;MI;10/15/1954 21:30;15/10/1954;21:30
Denver;;FIREBALL;CO;11/1/1954 18:30;1/11/1954;18:30
Thelma;;DISK;TX;11/14/1954 1:00;14/11/1954;1:00
Red Bank;ORANGE;CIRCLE;NJ;12/15/1954 23:10;15/12/1954;23:10
Yucaipa;;OVAL;CA;12/16/1954 16:50;16/12/1954;16:50
New York City;;LIGHT;NY;2/15/1955 19:00;15/2/1955;19:00
Holbrook;YELLOW;EGG;MA;5/1/1955 15:00;1/5/1955;15:00
Warrington;;FIREBALL;FL;5/15/1955 3:00;15/5/1955;3:00
Homaland;;CIRCLE;CA;6/1/1955 0:00;1/6/1955;0:00
Bagley;;CIRCLE;MN;6/1/1955 2:00;1/6/1955;2:00
Cincinnati;;DISK;OH;6/1/1955 15:29;1/6/1955;15:29
Martinez;;CIRCLE;CA;6/1/1955 17:00;1/6/1955;17:00
Clinton;;EGG;TN;6/1/1955 20:30;1/6/1955;20:30
Pensacola;;LIGHT;FL;6/6/1955 1:00;6/6/1955;1:00
South St. Paul;;DISK;MN;6/15/1955 0:00;15/6/1955;0:00
Terre Haute;ORANGE;CIRCLE;IN;6/15/1955 0:00;15/6/1955;0:00
Missouri;;LIGHT;MO;6/15/1955 4:30;15/6/1955;4:30
Youngstown;;VARIOUS;PA;6/15/1955 8:00;15/6/1955;8:00
Daytona Beach;;FIREBALL;FL;6/15/1955 21:00;15/6/1955;21:00
Rantoul;;LIGHT;IL;6/17/1955 7:00;17/6/1955;7:00
Beach Haven Park;;DISK;NJ;6/23/1955 7:00;23/6/1955;7:00
Quartz Hill;;DISK;CA;6/30/1955 0:00;30/6/1955;0:00
Lubbock;;CIGAR;TX;6/30/1955 13:00;30/6/1955;13:00
Dumas;;LIGHT;TX;6/30/1955 21:00;30/6/1955;21:00
Morehead City;;DISK;NC;6/30/1955 21:00;30/6/1955;21:00
Carnation;;DISK;WA;7/1/1955 14:00;1/7/1955;14:00
Dierks;;CIGAR;AR;7/1/1955 22:00;1/7/1955;22:00
Woodland Park;;OVAL;CO;7/15/1955 14:00;15/7/1955;14:00
Ringold;;LIGHT;LA;7/15/1955 22:00;15/7/1955;22:00
Newtown Square;;CIRCLE;PA;8/6/1955 19:00;6/8/1955;19:00
Independence;;FIREBALL;MO;8/8/1955 1:00;8/8/1955;1:00
Madisonville;;LIGHT;KY;8/14/1955 1:00;14/8/1955;1:00
Eagle Pass;;CIGAR;TX;8/15/1955 0:01;15/8/1955;0:01
Covina;;DISK;CA;8/17/1955 21:00;17/8/1955;21:00
Bullhead;;DISK;AZ;9/10/1955 23:00;10/9/1955;23:00
Mono Lake;;CIRCLE;CA;10/1/1955 22:00;1/10/1955;22:00
West Covina;GREEN;VARIOUS;CA;10/9/1955 18:00;9/10/1955;18:00
Rhinebeck;;LIGHT;NY;10/15/1955 20:00;15/10/1955;20:00
Weirton;;DISK;WV;1/1/1956 5:30;1/1/1956;5:30
Petaluma;;OVAL;CA;3/1/1956 13:00;1/3/1956;13:00
Bowie;;DISK;MD;3/20/1956 20:00;20/3/1956;20:00
Hampton;;SPHERE;MN;3/22/1956 17:30;22/3/1956;17:30
Canton;;CIGAR;OH;5/1/1956 12:00;1/5/1956;12:00
Pine castle AFB;;LIGHT;FL;5/15/1956 20:00;15/5/1956;20:00
Ada;;CIRCLE;OK;5/17/1956 10:22;17/5/1956;10:22
Belton;;OTHER;MO;6/1/1956 19:00;1/6/1956;19:00
Memphis;ORANGE;CYLINDER;TN;6/1/1956 20:00;1/6/1956;20:00
Elmore;;SPHERE;AL;6/5/1956 0:00;5/6/1956;0:00
Salt Lake City;;CIRCLE;UT;6/5/1956 0:00;5/6/1956;0:00
Upper Glade;;EGG;WV;6/6/1956 12:00;6/6/1956;12:00
Akron;;OTHER;OH;6/6/1956 22:00;6/6/1956;22:00
Edroy;;VARIOUS;TX;6/15/1956 1:00;15/6/1956;1:00
San Francisco;;OTHER;CA;6/15/1956 12:15;15/6/1956;12:15
Palo Alto;;FIREBALL;CA;6/15/1956 18:00;15/6/1956;18:00
Richfield Springs;;CIGAR;NY;6/15/1956 18:00;15/6/1956;18:00
Vista;ORANGE;CIGAR;CA;6/15/1956 19:15;15/6/1956;19:15
Farragut;;CIGAR;TN;6/15/1956 20:00;15/6/1956;20:00
Tulsa;;FLASH;OK;6/15/1956 20:00;15/6/1956;20:00
Salem;;DISK;NJ;6/15/1956 20:32;15/6/1956;20:32
New York City;;LIGHT;NY;6/15/1956 21:00;15/6/1956;21:00
Cincinnati;;DISK;OH;6/16/1956 13:00;16/6/1956;13:00
